Site,Name,Price,RAM,Storage,Url
refurbed.dk,Dell Latitude 7430 | i7-1265U | 14&quot;,3395 kr.,4.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-7430-i7-1265u/
refurbed.dk,Lenovo ThinkPad T14s G4 | i5-1345U | 14&quot;,7469 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-thinkpad-t14s-g4-i5-1345u/
refurbed.dk,Lenovo ThinkPad T15p G1 | i7-10750H | 15.6&quot;,5189 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-t15p-10750h/
refurbed.dk,Dell Precision 3571 | i7-12800H | 15.6&quot;,6895 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-3571-i7-12800h/
refurbed.dk,Lenovo ThinkPad T580 | i5-8350U | 15.6&quot;,2095 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t580-8350u/
refurbed.dk,Lenovo ThinkPad T590 | i5-8265U | 15.6&quot;,2495 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t590-8265u/
refurbed.dk,Lenovo ThinkBook 15 G2 ARE | Ryzen 3 4300U | 15.6&quot;,4229 kr.,8.0 GB,240 GB,https://www.refurbed.dk/p/lenovo-15-g2-are-3-4300u/
refurbed.dk,HP Elite x360 1040 G10 | i7-1355U | 14&quot;,8355 kr.,16.0 GB,1000 GB,https://www.refurbed.dk/p/hp-elite-x360-1040-g10-i7-1355u/
refurbed.dk,MSI Summit E16 | i7-1195G7 | 16&quot;,9449 kr.,16.0 GB,1000 GB,https://www.refurbed.dk/p/msi-summit-e16-i7-1195g7-16/
refurbed.dk,Dell Precision 7740 | i9-9880H | 17.3&quot;,9115 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/dell-precision-7740-i9-9880h/
refurbed.dk,HP ZBook Firefly 16 G11 | Core Ultra 7 155H | 16&quot;,13285 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/hp-zbook-firefly-16-g11-7-155h/
refurbed.dk,Apple MacBook Pro 2025 M5 | 14&quot;,11325 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/apple-macbook-pro-2025-m5-14/
